CustomerID;LOAN;MORTDUE;VALUE;REASON;JOB;YOJ;DEROG;DELINQ;CLAGE;NINQ;CLNO;DEBTINC
A0005;1700;97800;112000;HomeImp;Office;3;0;0;93.333333333;0;14;
A0008;1800;28502;43034;HomeImp;Other;11;0;0;88.766029879;0;8;36.884894093
A0017;2200;90957;102600;HomeImp;Mgr;7;2;6;122.9;1;22;
A0019;2300;28192;40150;HomeImp;Other;4.5;0;0;54.6;1;16;
A0025;2400;;17180;HomeImp;Other;;0;0;14.566666667;3;4;
A0026;2400;34863;47471;HomeImp;Mgr;12;0;0;70.491080032;1;21;38.263600731
A0041;3000;;8800;HomeImp;Other;2;0;1;77.766666667;0;3;
A0046;3000;;14100;HomeImp;Other;1;0;0;104.2;0;19;
A0049;3000;58000;71500;HomeImp;Mgr;10;;2;211.93333333;0;25;
A0056;3200;54000;64850;HomeImp;Other;1;0;0;121.86666667;3;21;
A0062;3500;23200;38666;HomeImp;Other;11;0;0;162.36666667;0;14;
A0070;3600;52337;63989;HomeImp;Office;20;0;0;204.27249884;0;20;20.470915508
A0071;3700;17857;21144;HomeImp;Other;5;0;0;129.71732313;1;9;26.634347518
A0073;3800;51180;63459;HomeImp;Office;20;0;0;203.75153358;0;20;20.067042051
A0080;3900;21200;39000;DebtCon;Mgr;4;0;1;86.566666667;2;14;
A0084;4000;26572;31960;HomeImp;Office;11;0;0;117.79510387;0;8;41.286491948
A0094;4000;62000;78000;HomeImp;Other;4;0;0;109.56666667;0;15;
A0101;4100;58500;65000;HomeImp;Other;8;1;2;63.933333333;2;15;
A0105;4200;67700;77000;DebtCon;Sales;4;0;0;128.83333333;0;31;
A0110;4300;68815;79852;HomeImp;Other;6;0;0;105.12070881;0;14;41.806376152
A0112;4400;53969;63869;DebtCon;ProfExe;7;0;3;162.39001067;0;30;23.581079239
A0125;4500;90000;105800;HomeImp;Other;6;2;3;80.1;3;10;
A0126;4700;67913;97205;;Mgr;2;0;0;142.82439151;0;24;35.226997192
A0148;5000;12457;53448;HomeImp;Self;;0;0;207.14348133;0;12;44.107951691
A0158;5000;34200;50830;HomeImp;Other;6;0;0;57;1;9;
A0161;5000;16600;25250;HomeImp;Other;6;0;0;88.7;1;3;
A0163;5000;22700;34225;HomeImp;Other;4;0;0;74.633333333;3;9;
A0165;5000;;74500;HomeImp;Other;19;;;;;;
A0166;5000;;94119;HomeImp;Other;19;;;;;;
A0172;5000;70470;77908;DebtCon;;5;;;;;;
A0180;5000;78893;82600;HomeImp;Mgr;16;0;0;133.9;1;34;
A0181;5000;85165;107940;HomeImp;Mgr;6;5;3;122.76666667;5;28;
A0192;5000;46696;85202;HomeImp;Other;2;1;2;148.34064549;0;14;46.489874001
A0211;5200;67000;77000;HomeImp;Other;9;0;1;119.7;0;25;
A0228;5300;47449;63895;HomeImp;Office;19;0;0;208.16271401;0;20;19.762113701
A0233;5400;45509;57453;DebtCon;Sales;4;0;0;95.6;0;22;
A0240;5400;48152;55760;DebtCon;;6;;0;78.452125766;;16;35.763637997
A0250;5500;93051;115374;HomeImp;ProfExe;6;0;0;187.02051879;1;27;27.646748505
A0252;5500;78059;78179;DebtCon;;5;;;;;;20.679313582
A0257;5500;;66251;HomeImp;Office;1;0;0;43.722336946;0;3;41.452043532
A0262;5600;29648;39907;HomeImp;ProfExe;11;0;0;180.56306914;0;13;21.554949656
A0267;5600;15275;47954;HomeImp;Self;;0;0;204.33524504;0;12;42.397769638
A0268;5700;100934;111496;HomeImp;Office;23;0;0;117.49959288;0;12;38.750562668
A0274;5700;26927;35461;DebtCon;Other;0;1;0;21.799352154;10;6;29.439664242
A0279;5700;77213;92661;DebtCon;Sales;0;0;0;97.133170952;1;16;41.777888631
A0280;5700;62319;82923;HomeImp;Other;4;0;0;117.6739652;0;15;42.464866285
A0285;5700;;64910;;;;;;;;;33.850461221
A0286;5700;;69172;HomeImp;Office;1;0;0;48.853667057;0;3;38.773685963
A0287;5800;;36385;HomeImp;Other;2;0;0;266.55339438;1;25;43.309764541
A0295;5800;46595;58191;HomeImp;Other;5;0;0;80.131746414;0;17;24.140153667
A0299;5900;;51189;HomeImp;;1;0;0;;0;0;12.749180645
